Year,Month,State,AvgTempF,PrecipitationIn,HumidityPct,WindSpeedMph
2015,January,Alabama,40.3,2.08,55,13.3
2015,January,Alaska,11.1,2.73,64,6.6
2015,January,Arizona,29.1,0.95,78,13.6
2015,January,Arkansas,32.2,0.56,61,5.2
2015,January,California,26.9,1.29,51,9.2
2015,January,Colorado,28.4,1.29,56,13.2
2015,January,Connecticut,28.6,1.38,51,11.5
2015,January,Delaware,26.3,2.18,72,5.4
2015,January,Florida,35.6,2.3,41,9.3
2015,January,Georgia,37.6,1.19,41,8.6
2015,January,Hawaii,29.2,2.63,43,6.2
2015,January,Idaho,33.8,1.18,42,13.5
2015,January,Illinois,29.5,1.88,50,13.6
2015,January,Indiana,27.1,1.75,58,5.5
2015,January,Iowa,26.4,1.58,70,11.9
2015,January,Kansas,28.4,1.23,57,14.8
2015,January,Kentucky,31.7,2.92,63,7.0
2015,January,Louisiana,37.2,0.99,68,12.7
2015,January,Maine,16.1,1.12,75,14.3
2015,January,Maryland,25.7,2.74,69,7.3
2015,January,Massachusetts,26.5,2.14,71,7.4
2015,January,Michigan,29.2,2.47,45,5.2
2015,January,Minnesota,12.2,2.76,60,5.6
2015,January,Mississippi,29.1,1.57,76,14.3
2015,January,Missouri,30.4,2.83,40,7.7
2015,January,Montana,13.0,0.75,76,15.0
2015,January,Nebraska,28.4,2.76,79,3.5
2015,January,Nevada,29.6,1.99,75,4.3
2015,January,New Hampshire,11.2,2.75,75,15.0
2015,January,New Jersey,27.7,2.67,72,4.1
2015,January,New Mexico,27.8,2.05,78,12.7
2015,January,New York,28.3,1.92,44,12.6
2015,January,North Carolina,25.4,1.01,41,14.8
2015,January,North Dakota,10.5,1.31,52,7.8
2015,January,Ohio,25.6,0.82,80,14.7
2015,January,Oklahoma,29.6,1.31,62,5.0
2015,January,Oregon,31.9,2.17,42,12.3
2015,January,Pennsylvania,33.4,0.85,72,12.1
2015,January,Rhode Island,29.7,1.08,63,13.8
2015,January,South Carolina,32.2,2.57,44,3.2
2015,January,South Dakota,28.0,0.5,43,14.7
2015,January,Tennessee,31.8,0.71,74,7.7
2015,January,Texas,40.1,1.36,79,14.6
2015,January,Utah,33.2,2.01,74,12.1
2015,January,Vermont,16.2,2.78,49,5.8
2015,January,Virginia,34.1,2.73,64,11.8
2015,January,Washington,26.1,1.7,70,3.2
2015,January,West Virginia,34.0,2.67,75,6.1
2015,January,Wisconsin,34.0,2.96,80,6.0
2015,January,Wyoming,11.8,0.96,60,14.4
2015,February,Alabama,42.9,1.77,55,8.2
2015,February,Alaska,13.6,0.78,57,5.4
2015,February,Arizona,28.7,2.93,65,7.0
2015,February,Arkansas,27.9,1.33,40,3.7
2015,February,California,34.3,2.79,42,7.4
2015,February,Colorado,27.1,0.7,60,14.0
2015,February,Connecticut,29.4,1.44,79,4.3
2015,February,Delaware,36.5,2.72,76,8.4
2015,February,Florida,37.9,1.02,71,8.2
2015,February,Georgia,39.3,2.28,70,5.0
2015,February,Hawaii,33.6,1.6,65,3.1
2015,February,Idaho,36.4,1.24,60,9.0
2015,February,Illinois,36.4,1.44,53,7.7
2015,February,Indiana,29.5,2.4,50,8.1
2015,February,Iowa,29.0,0.88,61,5.6
2015,February,Kansas,32.4,1.1,66,3.2
2015,February,Kentucky,35.3,2.03,78,13.4
2015,February,Louisiana,39.7,1.11,70,12.9
2015,February,Maine,15.9,1.21,59,4.9
2015,February,Maryland,32.8,1.3,41,9.6
2015,February,Massachusetts,32.0,0.99,75,2.5
2015,February,Michigan,35.9,2.01,43,6.7
2015,February,Minnesota,18.0,0.86,63,10.7
2015,February,Mississippi,30.9,2.39,66,9.1
2015,February,Missouri,32.6,2.6,72,3.9
2015,February,Montana,14.2,2.69,51,7.6
2015,February,Nebraska,29.4,1.12,76,12.0
2015,February,Nevada,36.2,2.6,50,12.3
2015,February,New Hampshire,12.8,1.46,57,13.0
2015,February,New Jersey,37.0,2.52,74,14.5
2015,February,New Mexico,27.2,0.8,41,3.3
2015,February,New York,31.2,1.95,51,3.4
2015,February,North Carolina,29.2,2.14,53,5.4
2015,February,North Dakota,19.9,0.86,43,4.2
2015,February,Ohio,33.9,2.56,64,10.0
2015,February,Oklahoma,27.0,2.55,69,11.9
2015,February,Oregon,30.9,2.68,65,10.2
2015,February,Pennsylvania,30.9,2.85,45,3.7
2015,February,Rhode Island,31.7,1.24,61,10.1
2015,February,South Carolina,27.7,1.22,70,4.9
2015,February,South Dakota,27.9,1.22,75,8.4
